,ID,Word,Definition,Class,Register,CEFR Level,IPA,Image,Example,Cambridge Examples,Audio,Definition Audio,Example Audio,Explanation,Morphology,Etymology,Connected Words,Hint
0, folks, folks,people in general (often used in the plural),noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/f/fol/folks/folks.mp3,,,,,,,,,,,
1, lofty, lofty,"Lofty is a good word for describing something that's high above the ground, or someone who acts like she's high above everyone else.",adjective,,,https://dictionary.cambridge.org/us/media/english/us_pron/l/lof/lofty/lofty.mp3,,,,,,,,,,,
2,- ease into (phrasal),,,phrasal verb,,,,,,,,,,,,,,
3,- file away,,,,,,,,,,,,,,,,,
4, unravel, unravel,"However tempting, don't pull that straggly thread hanging from your sleeve. You'll just unravel, or totally undo, your hand-knitted sweater.",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/u/unr/unrav/unravel.mp3,,,,,,,,,,,
5, teeter, teeter,"To teeter is to waver or sway a bit from lack of balance. When people first learn to ride a bicycle, they inevitably teeter for a while before becoming more skilled and confident.",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/t/tee/teete/teeter.mp3,,,,,,,,,,,
6,ingrained,ingrained,"Use the adjective ingrained to describe the strong beliefs of someone who has thought that way for a very long time, such as the ingrained patriotism of a 20-year military veteran.",adjective,,,https://dictionary.cambridge.org/us/media/english/us_pron/i/ing/ingra/ingrained.mp3,,,,,,,,,,,
7, message board, message board,a place on a website where you can leave messages for other people to read,-,,,https://dictionary.cambridge.org/us/media/english/us_pron/u/usa/usa33/usa33802.mp3,,,,,,,,,,,
8, smirk, smirk,"A smirk is specific kind of smile, one that suggests self-satisfaction, smugness, or even pleasure at someone else's unhappiness or misfortune.",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/smi/smirk/smirk.mp3,,,,,,,,,,,
9, smile, smile,Smile is the thing you do with your face when you are happy -– or want others to think you are. Your expression softens and your mouth turns up at the corners.,noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/smi/smile/smile.mp3,,,,,,,,,,,
10, lumpy, lumpy,"Lumpy things are uneven and full of bumps or chunks. While lumpy oatmeal might be good, a lumpy mattress can make it impossible to get a good night's sleep.",adjective,,,https://dictionary.cambridge.org/us/media/english/us_pron/l/lum/lump_/lump.mp3,,,,,,,,,,,
11, panting, panting,breathing heavily (as after exertion),noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/p/pan/pant_/pant.mp3,,,,,,,,,,,
12, whines, whines,"When you whine, you complain in a pitiful, annoying way. Your younger sister will whine if your piece of cake is bigger than hers.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/w/whi/whine/whine.mp3,,,,,,,,,,,
13, muffled, muffled,A muffled sound is quiet or muted. You might hear the muffled sound of your neighbors laughing through the wall of your apartment.,adjective,,,https://dictionary.cambridge.org/us/media/english/us_pron/m/muf/muffl/muffle.mp3,,,,,,,,,,,
14, fallout, fallout,Fallout is the cloud of radioactive material that falls from the sky after a nuclear blast. Fear of the effects of fallout is just one reason some people are nervous about nuclear energy.,noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/f/fal/fallo/fallout.mp3,,,,,,,,,,,
15, starry, starry,"Starry things are either full of stars, like the starry night sky, or they look like stars, like the starry white flowers in your garden.",adjective,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/sta/starr/starry.mp3,,,,,,,,,,,
16, to fence, to fence,"a structure that divides two areas of land, similar to a wall but made of wood or wire and supported with posts",-,,,https://dictionary.cambridge.org/us/media/english/us_pron/f/fen/fence/fence.mp3,,,,,,,,,,,
17, send off, send off,send away towards a designated goal,verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/sen/send_/send.mp3,,,,,,,,,,,
18,- up down off as an auxilyare,,,,,,,,,,,,,,,,,
19,- okay dokey,,,,,,,,,,,,,,,,,
20, gaze, gaze,"When someone lays eyes on you and keeps looking, it is a gaze or a stare. You can gaze back or just say, ""Take a picture; it lasts longer.""",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/g/gaz/gaze_/gaze.mp3,,,,,,,,,,,
21, hobble, hobble,"When you hobble, you walk awkwardly or unsteadily because you're in pain. You might wipe out on your bike and then hobble back home, pushing it in front of you.",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/h/hob/hobbl/hobble.mp3,,,,,,,,,,,
22, murmur, murmur,"A murmur is a quiet, blurred sound often heard from a distance. It can be comforting when you're little to fall asleep listening to the murmur of your parents talking downstairs.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/m/mur/murmu/murmur.mp3,,,,,,,,,,,
23,cottonwood,cottonwood,any of several North American trees of the genus Populus having a tuft of cottony hairs on the seed,noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/c/cus/cus00/cus00486.mp3,,,,,,,,,,,
24,- turn loose (phrasal verbs),,,,,,,,,,,,,,,,,
25,- kindling-cabin,,,,,,,,,,,,,,,,,
26, cockroach, cockroach,"A cockroach is a large insect that's a familiar urban pest. If you've got cockroaches in your apartment, you'll see them scatter when you flip on the light in your kitchen at night.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/c/coc/cockr/cockroach.mp3,,,,,,,,,,,
27, merely, merely,"Merely means ""only."" If you say ""I was merely trying to help,"" your efforts were probably not appreciated and you're likely to be stalking off with your nose in the air.",adverb,,,https://dictionary.cambridge.org/us/media/english/us_pron/m/mer/merel/merely.mp3,,,,,,,,,,,
28, ward off, ward off,To ward off something is to keep it from happening. You might try to ward off the virus that's going around by washing your hands constantly.,verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/w/war/ward_/ward.mp3,,,,,,,,,,,
29, antennae, antennae,"An antenna is a feeler found on the head of a bug. You know, the gross, creepy, pointy things they wave around and use as feelers or sensors. An antenna is also a device that sends radio and television signals.",noun,,,https://dictionary.cambridge.orgundefined,,,,,,,,,,,
30, packs, packs,"A pack is a container of something, especially one made of sturdy paper. You might run to the store for a pack of batteries for your new clock and a pack of crayons for your new coloring book.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/b/bac/backp/backpack.mp3,,,,,,,,,,,
31,- know better than,,,,,,,,,,,,,,,,,
32, willing, willing,"If you're willing to do something, you're agreeable or ready. A willing participant in your play is someone who won't have to be coerced into taking part, but is happy to join you on stage.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/w/wil/willi/willing.mp3,,,,,,,,,,,
33,- altogether vs completely (VEEEER),,,,,,,,,,,,,,,,,
34, extinction, extinction,"Extinction is when all members of a particular group die. Most often, we use it to discuss animal species. Many fear that the tiger is headed for extinction because of development and hunting.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/e/ext/extin/extinction.mp3,,,,,,,,,,,
35, groans, groans,"A groan is a sound of pain or disapproval that doesn't consist of words, usually heard after homework is assigned or bad jokes are told.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/g/gro/groan/groan.mp3,,,,,,,,,,,
36, sniffs, sniffs,Smell that cake baking? No? Take a sniff. A sniff is when you take air in through your nose to smell something.,verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/sni/sniff/sniff.mp3,,,,,,,,,,,
37, squire, squire,"Squire is a British term for a country landowner or gentleman. You can use squire to describe a refined and powerful man, or as a verb meaning to escort: when the queen visited, the police chief squired her around town.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/squ/squir/squire.mp3,,,,,,,,,,,
38, remnants, remnants,"A remnant is something that's left over, once the rest is used up. If you plan to sew a shirt using only a remnant, it might have to be a midriff shirt.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/r/rem/remna/remnant.mp3,,,,,,,,,,,
39,- stimpack,,,,,,,,,,,,,,,,,
40, straddle, straddle,"When you straddle something, you're sitting on it with one leg on each side — like straddling a horse or a fence.",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/s/str/strad/straddle.mp3,,,,,,,,,,,
41, vultures, vultures,A vulture is a type of bird — with a bald head and neck — that feeds on dead animals.,noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/v/vul/vultu/vulture.mp3,,,,,,,,,,,
42, chuckles, chuckles,"Chuckle is as fun to say as it is to do. In fact, just the sound of the word chuckle may make you feeling like chuckling, or laughing softly.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/c/chu/chuck/chuckle.mp3,,,,,,,,,,,
43,- headed to,,,,,,,,,,,,,,,,,
44, unhand, unhand,remove the hand from,verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/u/usu/usune/usunexc027.mp3,,,,,,,,,,,
45,- table turn,,,,,,,,,,,,,,,,,
46,- much obliged vs thank you (VEER),,,,,,,,,,,,,,,,,
47,- lowing (VEEER),,,,,,,,,,,,,,,,,
48, assortment, assortment,"An assortment is a collection of things that aren't the same. An assortment of chocolates might have some that are filled with coconut, caramel, or nuts. Yum.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/a/ass/assor/assortment.mp3,,,,,,,,,,,
49,- dweler,,,,,,,,,,,,,,,,,
50,- dipshits,,,,,,,,,,,,,,,,,
51, raider, raider,someone who takes spoils or plunder (as in war),noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/u/usr/usrad/usradia021.mp3,,,,,,,,,,,
52, countryside, countryside,rural regions,noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/e/eus/eus71/eus71059.mp3,,,,,,,,,,,
53, bounty, bounty,"If there is bounty on your table, it means you have a wide variety and large quantity of food. If there's a bounty on your head, it means the government has put out a reward for your capture.",noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/e/eus/eus70/eus70587.mp3,,,,,,,,,,,
54, crunch, crunch,"When you crunch something, you grind it into tiny pieces, often with your teeth. You can also crunch whole spices into smaller bits with a mortar and pestle.",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/c/cru/crunc/crunch.mp3,,,,,,,,,,,
55, bidding war, bidding war,the situation in which two or more companies or people compete against each other in order to buy something: ,-,,,https://dictionary.cambridge.org/us/media/english/us_pron/u/usa/usa31/usa31815.mp3,,,,,,,,,,,
56, bottle caps, bottle caps,a circular piece of metal used to close a bottle of beer or a fizzy drink (= with bubbles),-,,,https://dictionary.cambridge.org/us/media/english/us_pron/c/cdo/cdo03/cdo0318usbott0626.mp3,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
58,- deescalate,,,,,,,,,,,,,,,,,
59, wiggle, wiggle,"To wiggle is to move something back and forth. When you dance, you probably wiggle your hips. If you wiggle them too much, your mother might wiggle a finger at you and say ""Settle down!""",verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/w/wig/wiggl/wiggle.mp3,,,,,,,,,,,
60, crate, crate,A crate is a wooden container that's made for transporting or shipping goods. Your uncle might send you a crate of Florida oranges for a Christmas gift.,noun,,,https://dictionary.cambridge.org/us/media/english/us_pron/c/cra/crate/crate.mp3,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
62, hole up, hole up,sleep during winter,verb,,,https://dictionary.cambridge.org/us/media/english/us_pron/h/hol/hole_/hole.mp3,,,,,,,,,,,
63,- taxing to,,,,,,,,,,,,,,,,,
64, hefty, hefty,"Something that's hefty is big and heavy. When you have to lug a hefty suitcase around, it helps if it has wheels.",adjective,,,https://dictionary.cambridge.org/us/media/english/us_pron/h/hef/hefty/hefty.mp3,,,,,,,,,,,
